category,monthly_pct,annual_pct,change_gap
Food & non-alcoholic beverages,0.1,2.8,2.6999999999999997
Alcohol & tobacco,-0.5,4.3,4.8
Clothing & footwear,3.9,5.9,2.0000000000000004
Housing,0.2,6.3,6.1
"Furnishings, household equipment & services",0.3,1.2,0.8999999999999999
Health,2.6,4.0,1.4
Transport,-2.7,6.6,9.3
Communications,0.4,1.5,1.1
Recreation & culture,2.6,2.5,-0.10000000000000009
Education,0.0,4.8,4.8
Insurance & financial services,0.1,3.0,2.9
" Source: Australian Bureau of Statistics, Consumer Price Index, Australia April 2026",,,
