category,month,monthly_pct
Food,Feb-2026,1.1
Alcoholic beverages and tobacco,Feb-2026,-0.5
Clothing and footwear,Feb-2026,0.3
Furnishings and household equipment,Feb-2026,-0.4
Health,Feb-2026,0.1
Transport,Feb-2026,-0.4
Recreation and culture,Feb-2026,1.1
"Hotels, cafes and restaurants",Feb-2026,0.4
Miscellaneous goods and services,Feb-2026,-0.4
Total,Feb-2026,0.3
Food,Mar-2026,1.7
Alcoholic beverages and tobacco,Mar-2026,-0.4
Clothing and footwear,Mar-2026,0.9
Furnishings and household equipment,Mar-2026,1.5
Health,Mar-2026,0.4
Transport,Mar-2026,5.4
Recreation and culture,Mar-2026,1.2
"Hotels, cafes and restaurants",Mar-2026,-0.9
Miscellaneous goods and services,Mar-2026,1.4
Total,Mar-2026,1.6
Food,Apr-2026,-1.3
Alcoholic beverages and tobacco,Apr-2026,0.3
Clothing and footwear,Apr-2026,-2.2
Furnishings and household equipment,Apr-2026,-0.1
Health,Apr-2026,0.5
Transport,Apr-2026,-4.7
Recreation and culture,Apr-2026,-0.2
"Hotels, cafes and restaurants",Apr-2026,0.5
Miscellaneous goods and services,Apr-2026,-1.0
Total,Apr-2026,-1.1
