date,series,monthly_pct,annual_pct
2023-08-01,Rents,0.7,7.8
2023-09-01,Rents,0.2,7.5
2023-10-01,Rents,-0.3,6.6
2023-11-01,Rents,0.7,7.1
2023-12-01,Rents,0.8,7.4
2024-01-01,Rents,0.7,7.5
2024-02-01,Rents,0.8,7.5
2024-03-01,Rents,0.6,7.7
2024-04-01,Rents,0.5,7.5
2024-05-01,Rents,0.8,7.4
2024-06-01,Rents,0.6,7.1
2024-07-01,Rents,0.6,6.9
2024-08-01,Rents,0.6,6.7
2024-09-01,Rents,0.1,6.6
2024-10-01,Rents,-0.2,6.8
2024-11-01,Rents,0.6,6.6
2024-12-01,Rents,0.3,6.2
2025-01-01,Rents,0.4,5.8
2025-02-01,Rents,0.5,5.5
2025-03-01,Rents,0.3,5.2
2025-04-01,Rents,0.3,4.9
2025-05-01,Rents,0.4,4.5
2025-06-01,Rents,0.3,4.2
2025-07-01,Rents,0.3,3.9
2025-08-01,Rents,0.3,3.7
2025-09-01,Rents,0.2,3.8
2025-10-01,Rents,0.2,4.2
2025-11-01,Rents,0.4,4.0
2025-12-01,Rents,0.2,3.9
2026-01-01,Rents,0.3,3.9
2026-02-01,Rents,0.4,3.8
2026-03-01,Rents,0.2,3.7
2026-04-01,Rents,0.2,3.5
2021-01-01,Automotive fuel,1.7,-12.3
2021-02-01,Automotive fuel,2.6,-6.8
2021-03-01,Automotive fuel,7.0,9.9
2021-04-01,Automotive fuel,1.6,32.9
2021-05-01,Automotive fuel,-0.8,30.7
2021-06-01,Automotive fuel,-0.3,19.4
2021-07-01,Automotive fuel,7.1,23.5
2021-08-01,Automotive fuel,-0.6,24.1
2021-09-01,Automotive fuel,2.6,26.5
2021-10-01,Automotive fuel,5.4,33.8
2021-11-01,Automotive fuel,1.3,37.0
2021-12-01,Automotive fuel,-3.3,26.6
2022-01-01,Automotive fuel,4.3,29.8
2022-02-01,Automotive fuel,5.9,34.0
2022-03-01,Automotive fuel,12.5,40.8
2022-04-01,Automotive fuel,-13.8,19.5
2022-05-01,Automotive fuel,11.0,33.7
2022-06-01,Automotive fuel,6.8,43.3
2022-07-01,Automotive fuel,-3.4,29.2
2022-08-01,Automotive fuel,-11.6,15.0
