date,value,series
2023-08-01,7.8,Rent annual inflation (%)
2023-09-01,7.5,Rent annual inflation (%)
2023-10-01,6.6,Rent annual inflation (%)
2023-11-01,7.1,Rent annual inflation (%)
2023-12-01,7.4,Rent annual inflation (%)
2024-01-01,7.5,Rent annual inflation (%)
2024-02-01,7.5,Rent annual inflation (%)
2024-03-01,7.7,Rent annual inflation (%)
2024-04-01,7.5,Rent annual inflation (%)
2024-05-01,7.4,Rent annual inflation (%)
2024-06-01,7.1,Rent annual inflation (%)
2024-07-01,6.9,Rent annual inflation (%)
2024-08-01,6.7,Rent annual inflation (%)
2024-09-01,6.6,Rent annual inflation (%)
2024-10-01,6.8,Rent annual inflation (%)
2024-11-01,6.6,Rent annual inflation (%)
2024-12-01,6.2,Rent annual inflation (%)
2025-01-01,5.8,Rent annual inflation (%)
2025-02-01,5.5,Rent annual inflation (%)
2025-03-01,5.2,Rent annual inflation (%)
2025-04-01,4.9,Rent annual inflation (%)
2025-05-01,4.5,Rent annual inflation (%)
2025-06-01,4.2,Rent annual inflation (%)
2025-07-01,3.9,Rent annual inflation (%)
2025-08-01,3.7,Rent annual inflation (%)
2025-09-01,3.8,Rent annual inflation (%)
2025-10-01,4.2,Rent annual inflation (%)
2025-11-01,4.0,Rent annual inflation (%)
2025-12-01,3.9,Rent annual inflation (%)
2026-01-01,3.9,Rent annual inflation (%)
2026-02-01,3.8,Rent annual inflation (%)
2026-03-01,3.7,Rent annual inflation (%)
2026-04-01,3.5,Rent annual inflation (%)
2021-01-31,0.1,RBA cash rate (%)
2021-02-28,0.1,RBA cash rate (%)
2021-03-31,0.1,RBA cash rate (%)
2021-04-30,0.1,RBA cash rate (%)
2021-05-31,0.1,RBA cash rate (%)
2021-06-30,0.1,RBA cash rate (%)
2021-07-31,0.1,RBA cash rate (%)
2021-08-31,0.1,RBA cash rate (%)
2021-09-30,0.1,RBA cash rate (%)
2021-10-31,0.1,RBA cash rate (%)
2021-11-30,0.1,RBA cash rate (%)
2021-12-31,0.1,RBA cash rate (%)
2022-01-31,0.1,RBA cash rate (%)
2022-02-28,0.1,RBA cash rate (%)
2022-03-31,0.1,RBA cash rate (%)
2022-04-30,0.1,RBA cash rate (%)
2022-05-31,0.33,RBA cash rate (%)
2022-06-30,0.73,RBA cash rate (%)
2022-07-31,1.28,RBA cash rate (%)
2022-08-31,1.81,RBA cash rate (%)
2022-09-30,2.25,RBA cash rate (%)
2022-10-31,2.58,RBA cash rate (%)
2022-11-30,2.84,RBA cash rate (%)
2022-12-31,3.05,RBA cash rate (%)
2023-01-31,3.1,RBA cash rate (%)
2023-02-28,3.29,RBA cash rate (%)
2023-03-31,3.54,RBA cash rate (%)
2023-04-30,3.6,RBA cash rate (%)
2023-05-31,3.83,RBA cash rate (%)
2023-06-30,4.05,RBA cash rate (%)
2023-07-31,4.1,RBA cash rate (%)
2023-08-31,4.1,RBA cash rate (%)
2023-09-30,4.1,RBA cash rate (%)
2023-10-31,4.1,RBA cash rate (%)
2023-11-30,4.29,RBA cash rate (%)
2023-12-31,4.35,RBA cash rate (%)
2024-01-31,4.35,RBA cash rate (%)
2024-02-29,4.35,RBA cash rate (%)
2024-03-31,4.35,RBA cash rate (%)
2024-04-30,4.35,RBA cash rate (%)
2024-05-31,4.35,RBA cash rate (%)
2024-06-30,4.35,RBA cash rate (%)
2024-07-31,4.35,RBA cash rate (%)
2024-08-31,4.35,RBA cash rate (%)
2024-09-30,4.35,RBA cash rate (%)
2024-10-31,4.35,RBA cash rate (%)
2024-11-30,4.35,RBA cash rate (%)
2024-12-31,4.35,RBA cash rate (%)
2025-01-31,4.35,RBA cash rate (%)
2025-02-28,4.25,RBA cash rate (%)
2025-03-31,4.1,RBA cash rate (%)
2025-04-30,4.1,RBA cash rate (%)
2025-05-31,4.01,RBA cash rate (%)
2025-06-30,3.85,RBA cash rate (%)
2025-07-31,3.85,RBA cash rate (%)
2025-08-31,3.7,RBA cash rate (%)
2025-09-30,3.6,RBA cash rate (%)
2025-10-31,3.6,RBA cash rate (%)
2025-11-30,3.6,RBA cash rate (%)
2025-12-31,3.6,RBA cash rate (%)
2026-01-31,3.6,RBA cash rate (%)
2026-02-28,3.83,RBA cash rate (%)
2026-03-31,3.96,RBA cash rate (%)
2026-04-30,4.1,RBA cash rate (%)
